Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Announced Date,Announced Date Precision,IPO Date,Website,Twitter,LinkedIn,Top 5 Investors
Nebula Genomics,https://www.crunchbase.com/organization/nebula-genomics,"Biotechnology, Blockchain, Genetics, Health Care","San Francisco, California, United States",Nebula Genomics leverages blockchain technology to eliminate middlemen and empower people to own their personal genomic data.,"25,423",2021-08-11,day,,https://www.nebula.org,https://twitter.com/NebulaGenomics,https://www.linkedin.com/company/18466471/,"Mayfield Fund, Khosla Ventures, ARCH Venture Partners, Hikma Ventures, Great Point Partners"
Liquid Global,https://www.crunchbase.com/organization/liquid-global,"Bitcoin, Cryptocurrency, Financial Services, FinTech, Information Services, Information Technology, IT Management","Tokyo, Tokyo, Japan",Liquid Global is a developer of a cryptocurrency trading platform designed to provide liquidity to the crypto economy.,"25,507",2022-02-02,day,,https://www.liquid.com/,https://twitter.com/liquid_global,https://www.linkedin.com/company/quoine/,"Bossa Invest, FTX, IDG Capital, Bitmain, JAFCO"
Loopring,https://www.crunchbase.com/organization/loopring,"Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Ethereum","Shanghai, Shanghai, China",Loopring is an open protocol for building decentralized exchanges.,"25,714",2018-05-05,day,,https://loopring.org/,https://twitter.com/loopringorg,https://www.linkedin.com/company/loopring/,"NEO, G2H2 Capital, China Growth Capital, Kosmos Ventures, Fundamental Labs"
Factom,https://www.crunchbase.com/organization/factom,"Bitcoin, Enterprise Software, FinTech, Information Technology","Austin, Texas, United States","Factom, Inc. is a blockchain innovations company providing blockchain as a service platforms.","26,294",2021-08-02,day,,https://factom.com/,http://twitter.com/factom,http://www.linkedin.com/company/factom,"Plug and Play, Draper Associates, Tim Draper, BnkToTheFuture, Medici Ventures"
Alter,https://www.crunchbase.com/organization/facemoji,"3D Technology, Apps, Artificial Intelligence (AI), Computer Vision, Metaverse, Social Media, Virtual Goods, Web3","New York, New York, United States",Alter is an open-source platform that consists of a 3D avatar system and motion capture for web3.,"26,496",2022-10-27,day,,http://alter.xyz/,https://www.twitter.com/alter,https://www.linkedin.com/company/alterxyz,"General Catalyst, Play Ventures, Greycroft, Betaworks, X (formerly Twitter)"
Tixologi,https://www.crunchbase.com/organization/tixologi,"Blockchain, Software, Ticketing","Los Angeles, California, United States",A fully customizable ticketing platform allowing event producers to sell more tickets by building their brand and community.,"26,808",2025-04-02,day,,http://tixologi.com,https://twitter.com/tixologi,https://www.linkedin.com/company/tixologi,"Correlation Ventures, Social Leverage, KB Partners, StoryHouse Ventures"
Horangi,https://www.crunchbase.com/organization/horangi,"Blockchain, Cloud Security, Cyber Security, Innovation Management, Network Security, Risk Management, SaaS, Security, Software","Singapore, Central Region, Singapore",Horangi is a SaaS cybersecurity company that offers product innovation and technology designed to protect organizations.,"26,940",2023-06-28,day,,https://horangi.com,https://twitter.com/horangi_inc,https://www.linkedin.com/company/horangi/,"500 Global, Monk’s Hill Ventures, Genesis Alternative Ventures, Prasetia Dwidharma, Right Click Capital"
Gilded,https://www.crunchbase.com/organization/gilded,"Accounting, Blockchain, Cryptocurrency, FinTech, Web3","New Orleans, Louisiana, United States",Gilded enables web3 organizations to scale with a unified solution that eliminates the complexity of crypto payments and financial reporting,"30,140",2023-09-14,day,,https://gilded.finance,https://www.twitter.com/gildedfinance,https://www.linkedin.com/company/gilded,"Alumni Ventures, Techstars, Bonfire Ventures, Not Boring Capital, Redbeard Ventures"
Yup,https://www.crunchbase.com/organization/yup-0c4a,"Blockchain, Browser Extensions, Internet, Social Network","New York, New York, United States",Crypto social network that rewards and empowers curators,"30,374",2025-02-11,day,,https://yup.io,https://twitter.com/yup_io,https://www.linkedin.com/company/yupio,"LD Capital, Dapper Labs, Nascent, IDEO CoLab Ventures, Dan Romero"
Pixelmon,https://www.crunchbase.com/organization/pixelmon,"Gaming, Metaverse, Web3","New York, New York, United States",Pixelmon is a decentralized web3 gaming IP company that develops online video games.,"30,810",2023-02-28,day,,https://www.pixelmon.ai/,https://twitter.com/Pixelmon,https://www.linkedin.com/company/pixelmon,"Amber Group, Foresight Ventures, Animoca Brands, Sfermion, Mechanism Capital"
PROOF,https://www.crunchbase.com/organization/proof-265a,"Art, Blockchain, Communities, Digital Media, Metaverse, Non-Fungible Token (NFT)","Portland, Oregon, United States",PROOF is a podcast that provides in-depth non-fungible token coverage.,"31,047",2024-02-16,day,,https://proof.xyz,https://twitter.com/proof_xyz,https://www.linkedin.com/company/proof-holdings-inc/,"Andreessen Horowitz, True Ventures, Seven Seven Six, SV Angel, Collab+Currency"
CoWSwap,https://www.crunchbase.com/organization/cowswap,"Blockchain, Cryptocurrency, Finance","Lisbon, Lisboa, Portugal",CoWSwap is the first trading interface built on top of the CoW Protocol.,"31,696",2020-02-02,day,,https://swap.cow.fi/#/swap?chain=mainnet,,,"Robot Ventures, Cherry Ventures, Hack VC, Blockchain Capital, LongHash Ventures"
Argo Blockchain,https://www.crunchbase.com/organization/argo-blockchain-plc,"Blockchain, Cryptocurrency, Information Technology, Smart Contracts","London, England, United Kingdom","Argo is a blockchain technology company that offers cryptocurrency mining, smart contract fulfillment, and ease of transactions.","32,501",,,2018-08-03,http://www.argoblockchain.com,https://twitter.com/ArgoBlockchain,https://www.linkedin.com/company/argoblockchain/,"NYDIG, Galaxy Digital, Flatiron Labs"
ErisX,https://www.crunchbase.com/organization/erisx,"Blockchain, Financial Services, FinTech, Information Technology, Insurance, Software","Chicago, Illinois, United States",ErisX specializes in digital asset space that offers both spot and futures contracts on one platform.,"32,683",2021-10-20,day,,https://erisx.com/,https://twitter.com/ErisX_Digital,https://www.linkedin.com/company/erisx/,"Hidden Road, Valor Equity Partners, ConsenSys, Robinhood, Pantera Capital"
GK8 by Galaxy,https://www.crunchbase.com/organization/gk8,"Asset Management, Blockchain, Cyber Security, Financial Services, Software","Tel Aviv, Tel Aviv, Israel","GK8, a Galaxy (GLXY:TSX) company, provides financial institutions with the most reliable self-custody technology for digital assets","33,067",2022-12-02,day,,https://www.gk8.io/,https://x.com/GK8_Security,https://www.linkedin.com/company/gk8/,"IN Venture, Eden Block, Rafi Gidron"
GRIID,https://www.crunchbase.com/organization/griid,"Bitcoin, Blockchain, Mining","Cincinnati, Ohio, United States",GRIID is a vertically-integrated bitcoin self-mining company that owns and operates a growing portfolio of bitcoin mining facilities.,"33,631",2024-06-27,day,,https://www.griid.com/,https://twitter.com/griid?lang=en,https://www.linkedin.com/company/griid-infrastructure/,"Blockchain.com, Ten31, Kesha Ventures"
Parasol,https://www.crunchbase.com/organization/parasol-d2ae,Cryptocurrency,"San Francisco, California, United States",Parasol builds next-generation blockchain-enabled applications and launches modern networks for financial institutions.,"34,133",2025-03-07,day,,https://parasol.xyz/,https://x.com/parasolxyz,https://www.linkedin.com/company/parasoltechnologies/,"Alliance DAO, DG VENTURES"
Arbelos Markets,https://www.crunchbase.com/organization/arbelos-markets,"Cryptocurrency, Financial Services",,Arbelos Markets provides unprecedented access and transparency to counterparties through powerful technology.,"34,164",2025-01-02,day,,https://arbelos.xyz/,,https://www.linkedin.com/company/arbelos-markets/about/,"Deribit, Dragonfly, FalconX, Paxos, StarkWare Industries"
Bison Trails,https://www.crunchbase.com/organization/bison-trails,"Blockchain, Infrastructure, Internet, Software","Brooklyn, New York, United States",Bison Trails allows the user to run secure infrastructure on multiple blockchains.,"34,622",2021-01-19,day,,https://bisontrails.co/,https://twitter.com/BisonTrails,https://www.linkedin.com/company/bison-trails/,"Kleiner Perkins, Coinbase Ventures, Blockchain Capital, Initialized Capital, Collaborative Fund"
Bware Labs,https://www.crunchbase.com/organization/bware-labs,"Blockchain, Cloud Infrastructure, Cryptocurrency, Software Engineering, Web3","Bucharest, Bucuresti, Romania",Bware Labs provides blockchain infrastructure and API services.,"35,116",2024-08-29,day,,https://bwarelabs.com/,https://twitter.com/BwareLabs,https://www.linkedin.com/company/bwarelabs/,"Ava Labs, Figment, CoinGecko, Nexo, The Spartan Group"
Shipyard Software,https://www.crunchbase.com/organization/shipyard-software,"Cryptocurrency, Financial Services, Software","San Francisco, California, United States",Shipyard Software is building a fleet of exchanges and DeFi tools to suit every crypto trader.,"35,439",2025-01-28,day,,https://shipyardsoftware.org/,https://twitter.com/ShipyardSW,https://www.linkedin.com/company/shipyard-software-inc/,"Robot Ventures, FJ Labs, Electric Capital, 0x, Quantstamp"
Multis,https://www.crunchbase.com/organization/multis,"Blockchain, Consulting, Cryptocurrency, Financial Services, FinTech, Insurance, Internet, Software, Venture Capital, Web3","San Francisco, California, United States",Multis is a crypto treasury management tool designed for web3 organizations.,"35,596",2024-04-18,day,,https://multis.com,https://twitter.com/multisHQ,https://www.linkedin.com/company/13991256,"Y Combinator, Sequoia Capital, Long Journey Ventures, Coinbase Ventures, White Star Capital"
ZenSports,https://www.crunchbase.com/organization/zensports,"Cryptocurrency, Gambling, Mobile Apps, Sports","Miami, Florida, United States","Mobile sports betting against the house or peer-to-peer, using fiat or cryptocurrencies","35,636",2022-10-10,day,,http://zensports.com/,https://www.twitter.com/zensports,https://www.linkedin.com/company/zensports,"Gaingels, LAUNCH, Forum Ventures, MicroVentures, Right Side Capital Management"
IndiGG,https://www.crunchbase.com/organization/indigg,"Blockchain, Gaming, Information Technology, Online Games, Web3","Bengaluru, Karnataka, India",IndiGG is NFT based play-to-earn game in web3 frontier. IndiGG is the India sub-decentralized autonomous organization(subDAO) of YGG.,"36,452",2023-02-23,day,,https://indigg-dev.netlify.app/,https://twitter.com/YGGIndia,https://www.linkedin.com/company/indi-gg/,"Lightspeed Venture Partners, Play Ventures, Peak XV Partners, Griffin Gaming Partners, Jump Capital"
Triangle,https://www.crunchbase.com/organization/triangle-2,"B2B, Developer APIs, E-Commerce, Web3","San Francisco, California, United States","Triangle, acquired by Bridge and now Stripe is a software company that builds web3 wallet infrastructure.","36,617",2024-11-01,day,,https://www.triangleplatform.com/,https://twitter.com/triangleplatfrm,https://www.linkedin.com/company/triangleplatform/,"Social Capital, WndrCo, Collab+Currency, RareBreed Ventures, DCG Expeditions"
Blowfish,https://www.crunchbase.com/organization/blowfish-6471,"Blockchain, Cryptocurrency, Cyber Security, Information Technology, Software","San Francisco, Islas Baleares, Spain",Blowfish detects and prevents fraud before any fraud occurs.,"37,345",2024-11-27,day,,https://blowfish.xyz,,,"Paradigm, Dragonfly, 0x, Naval Ravikant, Hypersphere Ventures"
Luno,https://www.crunchbase.com/organization/lunomoney,"Cryptocurrency, Financial Services, Virtual Currency","London, England, United Kingdom","Luno is a global cryptocurrency firm that specializes in bitcoin, fintech, digital currencies, and financial services.","37,573",2020-09-09,day,,https://www.luno.com,https://twitter.com/lunomoney,https://www.linkedin.com/company/lunomoney/,"Digital Currency Group, Balderton Capital, Ariadne Capital Limited, Venturra, PayU GPO"
Curv,https://www.crunchbase.com/organization/curv-5d20,"Blockchain, Cloud Computing, Cryptocurrency, Cyber Security, FinTech, Software","New York, New York, United States",Curv is a developer of digital asset security infrastructure helping crypto-native and financial institutions to create digital wallets.,"38,213",2021-03-08,day,,https://www.curv.co,https://twitter.com/curvmpc,https://www.linkedin.com/company/curv,"Franklin Templeton, Team8, Coinbase Ventures, Digital Currency Group, CommerzVentures"
Altonomy,https://www.crunchbase.com/organization/altonomy,"Asset Management, Bitcoin, Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Trading Platform","Singapore, Central Region, Singapore","Altonomy is a trading, advisory, and asset management firm specializing in cryptocurrency and digital assets.","38,283",2022-03-22,day,,https://www.altonomy.com,https://twitter.com/altonomy,https://www.linkedin.com/company/altonomy,"Polychain, 7 Blocks"
Authenteq - an FNZ company,https://www.crunchbase.com/organization/authenteq,"Asset Management, Banking, Blockchain, Compliance, Cryptocurrency, FinTech, Insurance, Machine Learning, Software, Wealth Management","Reykjavík, Gullbringusysla, Iceland","Authenteq is the world’s first fully automated KYC identity verification platform. Verify identities instantly, onboard users in 35 seconds.","39,321",2022-11-01,month,,https://onboarding.fnz.com/solutions/id-verification,https://twitter.com/FNZ_Group,https://www.linkedin.com/company/fnz/,"Draper Associates, 3VC, NAP, Startupbootcamp, EASME"
Sparrow,https://www.crunchbase.com/organization/sparrow-41c3,"Bitcoin, Blockchain, Cryptocurrency, Ethereum, Financial Exchanges, FinTech, Trading Platform","Singapore, Central Region, Singapore",Sparrow offers innovative digital asset products and solutions for institutions and wealth managers.,"39,470",2022-12-13,day,,https://www.sparrowexchange.com,https://twitter.com/sparrowexchange,https://www.linkedin.com/company/sparrowexchange/,"Arrington XRP Capital, Signum Capital, FinLab, EOS VC Fund, Du Capital"
Skolem Technologies,https://www.crunchbase.com/organization/skolem,"Cryptocurrency, Financial Services, Software","New York, New York, United States","Skolem provides robust institutional-grade asset management and execution services for hedge funds, treasuries, and service providers.","40,537",2024-05-30,day,,https://skolem.com/,,https://www.linkedin.com/company/skolem/,"Dragonfly, Point72 Ventures, Galaxy Digital, Fenwick & West, Morpheus Ventures"
SolanaFM,https://www.crunchbase.com/organization/solanafm,"Blockchain, Information Services","Singapore, Central Region, Singapore",SolanaFM provides blockchain indexing and analytical services to quickly capture and analyze data.,"42,310",2024-09-20,day,,https://solana.fm/?cluster=mainnet-qn1,https://twitter.com/solanafm,https://www.linkedin.com/company/solanafm,"Sygnum, CoinHako, The Spartan Group, Mirana, Zee Prime Capital"
Toposware,https://www.crunchbase.com/organization/toposware,"Blockchain, Information Technology, Software","Boston, Massachusetts, United States",Toposware develops a fully interoperable blockchain ecosystem powered by zero-knowledge proofs.,"46,307",2024-06-04,day,,https://toposware.com/,https://twitter.com/toposware,https://www.linkedin.com/company/toposware/,"Evolution Equity Partners, Triatomic Capital, K2 Access Fund, Sandeep Nailwal, Digital Hollywood"
GAMEE,https://www.crunchbase.com/organization/gamee,"Apps, Blockchain, Casual Games, Gaming, Mobile, Web Apps","Prague, Hlavni mesto Praha, Czech Republic","GAMEE is a high-engagement gaming platform, where users complete game missions, compete in tournaments and earn prizes.","47,074",2020-07-02,day,,https://token.gamee.com,https://www.twitter.com/gameeapp,https://www.linkedin.com/company/10062174,"Index Ventures, Pantera Capital, 3VC, Credo Ventures, Day One Capital"
Satsuma,https://www.crunchbase.com/organization/satsuma,"Blockchain, Developer APIs, Developer Platform, Productivity Tools, Web3","San Francisco, California, United States",Satsuma is a reliable blockchain indexing service for web3 engineering teams.,"47,847",2023-09-26,day,,https://www.satsuma.xyz/,https://twitter.com/satsumaxyz,https://www.linkedin.com/company/satsuma-xyz,"Y Combinator, South Park Commons, Archetype, Initialized Capital, Homebrew"
BRD,https://www.crunchbase.com/organization/brd,"Bitcoin, Cryptocurrency, Financial Services, FinTech, Mobile Payments, Software, Virtual Currency","Zürich, Zurich, Switzerland",BRD is a financial software company specializing in blockchain-enabled mobile applications for cryptocurrency management.,"48,729",2021-11-25,day,,https://brd.com/,https://x.com/brdhq,https://www.linkedin.com/company/breadwallet/,"East Ventures, Liberty City Ventures, Saison Ventures, Xpring, Das Capital"
Ape Board,https://www.crunchbase.com/organization/ape-board,"Cryptocurrency, Decentralized Finance (DeFi), Financial Services, FinTech","Singapore, Central Region, Singapore",Ape Board is a decentralized finance (DeFi) sector via crypto-asset aggregator and portfolio dashboard.,"48,912",2022-05-17,day,,https://apeboard.finance/,https://twitter.com/ape_board,https://www.linkedin.com/company/apeboard,"LongHash Ventures, SCB 10X, Spartan Capital Securities, Do Kwon, DeFiance Capital"
Voyager,https://www.crunchbase.com/organization/voyager-8d36,"Cryptocurrency, Finance, Financial Services, FinTech, Information Technology","Wilmington, Delaware, United States",Voyager offers a secure way to invest in cryptocurrencies and altcoins using its mobile application.,"50,098",2022-12-19,day,2019-02-11,https://www.investvoyager.com,https://twitter.com/investvoyager,https://www.linkedin.com/company/investvoyager,"Blockdaemon, Digital Currency Group, Galaxy Digital, Streamlined Ventures, Karman Ventures"
Zabo,https://www.crunchbase.com/organization/zabo,"Bitcoin, Cryptocurrency, Developer APIs, Finance, Financial Services, FinTech, Personal Finance","Dallas, Texas, United States",Zabo connects any crypto wallet to any application in a few lines of code.,"50,661",2021-08-04,day,,https://zabo.com,https://twitter.com/zaboAPI,https://www.linkedin.com/company/zaboapi,"Castle Island Ventures, Digital Currency Group, Capital Factory, Moonshots Capital, CoinShares"
Ather Digital,https://www.crunchbase.com/organization/ather-digital,"Asset Management, Cryptocurrency, Finance, Financial Services, Software","New York, New York, United States",Ather Digital develops a frequency trading system for centralized and decentralized digital asset markets.,"51,974",2024-05-23,day,,https://www.atherdigital.com,https://twitter.com/atherdigital,https://www.linkedin.com/company/ather-digital,Delta Blockchain Fund
Flood,https://www.crunchbase.com/organization/flood-0c83,"Cryptocurrency, Decentralized Finance (DeFi), Financial Services","New York, New York, United States",Flood is a DeFi aggregator that offers its platform to provide the best price available for all supported assets.,"52,517",2025-05-15,day,,https://www.flood.bid/,https://twitter.com/bidflood,https://www.linkedin.com/company/floodbid/,"Robot Ventures, Archetype, Bain Capital Crypto"
SimpleHash,https://www.crunchbase.com/organization/simplehash,"Bitcoin, Blockchain, Cryptocurrency, Security","San Francisco, California, United States",SimpleHash is an NFT data platform that specializes in infrastructure for multi-chain NFT indexing and querying.,"52,702",2025-02-26,day,,https://simplehash.com/,https://x.com/SimpleHashInc,https://www.linkedin.com/company/simplehash,"Y Combinator, FundersClub, Orange DAO, Outset Capital"
Skew,https://www.crunchbase.com/organization/skew,"Bitcoin, Blockchain, Financial Services, FinTech, Software","London, England, United Kingdom",Skew is a platform that builds cutting-edge financial infrastructure for the digital assets space.,"52,805",2021-04-30,day,,https://www.skew.com,https://twitter.com/skewdotcom,https://www.linkedin.com/company/skew-markets/,"Octopus Ventures, Kleiner Perkins, Firstminute Capital, Kima Ventures, Seedcamp"
Ottr Finance,https://www.crunchbase.com/organization/ottr-finance,"Apps, Blockchain, Cryptocurrency, Financial Services, Mobile Payments, Payments","San Francisco, California, United States",Ottr Finance is a Wallet For Everyone.,"52,917",2024-01-03,day,,https://ottr.finance,https://twitter.com/ottrfinance,https://www.linkedin.com/company/ottrfinance,"Slow Ventures, Race Capital, Circle Ventures, Craig Clemens, Brian Norgard"
Coincheck,https://www.crunchbase.com/organization/resupress,"Bitcoin, Blockchain, FinTech, Information Services, Information Technology, Internet, News, Software","Tokyo, Tokyo, Japan",Coincheck is a fintech firm that operates bitcoin and cryptocurrency exchange platform.,"53,525",2018-04-06,day,2024-12-10,https://corporate.coincheck.com/,https://x.com/coincheckjp,https://www.linkedin.com/company/coincheck/,"ANRI, WiL (World Innovation Lab), Incubate Fund, Ceres"
DMarket,https://www.crunchbase.com/organization/dmarket,"Blockchain, Digital Entertainment, FinTech, Gaming, Internet, Marketplace, Metaverse","Santa Monica, California, United States",DMarket is a marketplace for NFTs trading and technology for building metaverses.,"54,172",2023-01-25,day,,https://dmarket.com,https://twitter.com/dmarket_com,https://www.linkedin.com/company/18149400/,"Pantera Capital, Almaz Capital, Xsolla, Fulgur Ventures, Alexis Berthoud"
Evernym,https://www.crunchbase.com/organization/evernym,"Blockchain, Cryptocurrency, Information Services, Information Technology, Software","Draper, Utah, United States","Evernym is a software company that develops decentralized, self-sovereign identity applications in order to form more trusting interactions","57,656",2021-12-09,day,,http://evernym.com/,https://www.twitter.com/evernym,https://www.linkedin.com/company/evernym-inc-/,"Alumni Ventures, Blockwall, Outlier Ventures, Kosmos Ventures, Medici Ventures"
Staging Labs,https://www.crunchbase.com/organization/staging-labs,"Blockchain, Cryptocurrency, Cyber Security, Software","Miami, Florida, United States",Staging Labs making crypto safe and easy to use.,"57,965",2024-06-04,day,,https://www.staginglabs.io/,https://twitter.com/Staging_Labs,https://www.linkedin.com/company/staging-labs/,"Gaingels, Flourish Ventures, The General Partnership, NGC Ventures, Longterm Ventures"
Gem,https://www.crunchbase.com/organization/gem,"Cryptocurrency, FinTech, Internet, Security, Software","Venice, California, United States",Gem is a cryptocurrency and blockchain technology.,"58,085",2022-03-09,day,,http://gem.co,https://twitter.com/gemhq,https://www.linkedin.com/company/gem-hq,"First Round Capital, Blockchain Capital, Compound, Pelion Venture Partners, Digital Currency Group"
Staked us,https://www.crunchbase.com/organization/staked-us,"Blockchain, Internet, Publishing","New York, New York, United States",Staked is a startup that provides institutional investors with the technical infrastructure for non-custodial staking services.,"58,524",2021-12-21,day,,https://staked.us/,https://twitter.com/staked_us,https://www.linkedin.com/company/staked/,"Global Brain Corporation, Coinbase Ventures, Pantera Capital, Fabric Ventures, Digital Currency Group"
Trustology,https://www.crunchbase.com/organization/trustology,"Blockchain, Cryptocurrency, FinTech, Information Technology, Virtual Currency","London, England, United Kingdom",Trustology is building a custody platform to safeguard your crypto assets.,"58,532",2022-02-22,day,,https://www.trustology.io,https://twitter.com/TrustologyIO,https://www.linkedin.com/company/trustology,"ConsenSys, Two Sigma Ventures, ConsenSys Mesh"
Jet Protocol Holdings,https://www.crunchbase.com/organization/jet-protocol-holdings,"Blockchain, Financial Services, FinTech, Lending","Greenwich, Connecticut, United States",Jet Protocol Holdings is an operator of a lending platform.,"60,969",2024-10-29,day,,https://jetprotocol.io,https://twitter.com/jetprotocol,https://www.linkedin.com/company/jetprotocol,"Robot Ventures, Reciprocal Ventures, GSR, Three Arrows Capital, ParaFi Capital"
FAC (Fund Admin Chain),https://www.crunchbase.com/organization/fac-fund-admin-chain,"Blockchain, Finance, Financial Services, FinTech, Funding Platform, Information Technology, Trading Platform","London, England, United Kingdom",FAC is a digital funds network for launching and trading investment funds.,"62,251",2022-03-15,day,,https://www.fundadminchain.com/,https://twitter.com/FacFunds,https://www.linkedin.com/company/fundadminchain-fac/,"Newchip Accelerator, Lingfeng Capital, QBN Capital, NadiFin"
Solscan,https://www.crunchbase.com/organization/solscan,"Analytics, Blockchain","Singapore, Central Region, Singapore",Solscan is a full-suite block explorer and data analytics platform focusing on the Solana ecosystem.,"63,596",2024-01-03,day,,https://solscan.io/,https://twitter.com/solscanofficial,https://www.linkedin.com/company/solscan-pte-ltd/about/,"Electric Capital, Peak XV Partners, Multicoin Capital, CoinGecko, Signum Capital"
Vinter,https://www.crunchbase.com/organization/vinter-capital,"Cryptocurrency, Financial Services, FinTech","Stockholm, Stockholms Lan, Sweden",Vinter is a regulated index provider specialized in crypto assets.,"64,908",2024-11-12,day,,https://vinter.co,https://twitter.com/vinterco,https://www.linkedin.com/company/vinterco/,"Octopus Ventures, Techstars, Gorilla Capital, Sting, Propel Capital"
Cambridge Blockchain,https://www.crunchbase.com/organization/cambridge-blockchain,"Blockchain, Cyber Security, Financial Services, FinTech, Identity Management, Information Technology, Privacy, Software","Cambridge, Massachusetts, United States",Cambridge Blockchain develops blockchain-based identity management and compliance software solutions for financial institutions.,"65,494",2020-12-01,day,,http://www.cambridge-blockchain.com/,https://twitter.com/C_Blockchain,https://www.linkedin.com/company/cambridge-blockchain-llc,"Flourish Ventures, Partech, Digital Currency Group, PayPal Ventures, Future Perfect Ventures"
TAP Network,https://www.crunchbase.com/organization/tap-coin,"Banking, Big Data, Blockchain, E-Commerce, FinTech, Loyalty Programs, Marketplace","New York, New York, United States",TAP Network is a technology company building blockchain powered software for enterprise clients.,"66,568",2023-04-04,day,,https://mytaprewards.com,https://twitter.com/mytaprewards,https://www.linkedin.com/company/mytaprewards,"Warner Music Group, Access Industries, Hard Yaka, Bill Tai, Nima Capital"
Coinmama,https://www.crunchbase.com/organization/coinmama,"Bitcoin, Blockchain, Financial Services, FinTech","Dublin, Dublin, Ireland","Coinmama is a financial service that makes it fast, safe and fun to buy digital currency, anywhere in the world.","68,045",2022-03-24,day,,http://www.coinmama.com,https://twitter.com/coinmama_com,https://www.linkedin.com/company/coinmama,iAngels
Mint Songs,https://www.crunchbase.com/organization/mint-songs,"Blockchain, Cryptocurrency, Information Technology, Music, Web3","Washington, District of Columbia, United States",Mint Songs is the largest music NFT marketplace helping music artists build web3 communities,"68,186",2023-02-15,day,,http://mintsongs.com/,https://twitter.com/mintsongs,https://www.linkedin.com/company/mint-songs,"Goodwater Capital, Coinbase Ventures, Castle Island Ventures, Freestyle Capital, Dapper Labs"
First Group,https://www.crunchbase.com/organization/first-group,"Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Information Technology, Payments, Software","Giv'atayim, Tel Aviv, Israel",First Group is a financial service providing company.,"70,641",2022-02-16,day,,https://www.firstdag.com,https://mobile.twitter.com/first_dag,https://www.linkedin.com/company/firstdag/,"Target Global, Mangrove Capital Partners, Scale-Up, Ronald Cohen"
BastionZero,https://www.crunchbase.com/organization/commonwealth-crypto,"Cryptocurrency, Information Technology","Boston, Massachusetts, United States",BastionZero is developing technology to allow traders to maintain custody of their coins while trading at a cryptocurrency exchange,"71,441",2024-05-30,day,,https://www.bastionzero.com,https://twitter.com/getBastionZero,https://www.linkedin.com/company/bastionzero,"Underscore VC, Akamai Technologies, Highland Capital Partners, Dell Technologies Capital, Notation Capital"
gem.xyz,https://www.crunchbase.com/organization/gem-xyz,"B2B, Cryptocurrency, Information Services, Marketplace","Singapore, Central Region, Singapore",gem.xyz discover & buy NFTs across all marketplaces.,"71,449",2022-04-25,day,,https://www.gem.xyz/,https://twitter.com/gemxyz,https://www.linkedin.com/company/gemxyz/,Tioga Capital Partners
Propine,https://www.crunchbase.com/organization/propine-capital,"Bitcoin, Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Information Technology, Internet","Singapore, Central Region, Singapore",Propine provides digital custody and crypto management services.,"75,651",2024-10-22,day,,https://propine.com,https://twitter.com/PropineGlobal,https://www.linkedin.com/company/propine,"Entrepreneurs First, Golden Gate Ventures, Tenity, Wave Digital Assets, LuneX Ventures"
BitOasis,https://www.crunchbase.com/organization/bitoasis,"Bitcoin, Cryptocurrency, Financial Services, FinTech, Payments","Dubai, Dubai, United Arab Emirates","BitOasis is a cryptocurrency trading platform offering a digital asset wallet and exchange to buy, sell, and trade.","79,505",2024-07-03,day,,http://bitoasis.net,https://twitter.com/bitoasis,https://www.linkedin.com/company/bitoasis-technologies-fze/about/,"Digital Currency Group, Global Founders Capital, Pantera Capital, CoinDCX, 1776 Ventures"
Golden,https://www.crunchbase.com/organization/golden-2cb6,"Artificial Intelligence (AI), Blockchain, Machine Learning, Natural Language Processing, Software","Claymont, Delaware, United States",Golden is a developer of a self-constructing knowledge database used to accelerate discovery and education.,"80,100",2024-04-24,day,,https://golden.com,https://twitter.com/Golden,https://www.linkedin.com/company/golden-recursion-inc/,"Andreessen Horowitz, Founders Fund, Quiet Capital, FalconX, Bossa Invest"
Tech Bureau,https://www.crunchbase.com/organization/tech-bureau-inc-,"Cryptocurrency, FinTech, Security","Osaka, Osaka, Japan",Tech Bureau provides cryptographic currency and Blockchain technology using exchange API to handle currency encryption.,"80,495",2018-11-22,day,,http://techbureau.jp,,https://www.linkedin.com/company/tech-bureau-corp.,"JAFCO, Hiroshima Venture Capital, Arara, Asteria, Nippon Technology Venture Partners"
Mediachain,https://www.crunchbase.com/organization/mediachain,"Art, Blockchain, Cryptocurrency, Digital Media, Social Media Marketing","Brooklyn, New York, United States",Mediachain automatically connects media to its creator and information about it.,"83,196",2017-04-26,day,,http://www.mediachain.io/,https://twitter.com/mediachain_,https://www.linkedin.com/company/mediachain-labs-logo/,"Andreessen Horowitz, Union Square Ventures, Digital Currency Group, LDV Capital, RRE Ventures"
Loco,https://www.crunchbase.com/organization/the-loco-app,"Apps, Blockchain, Gaming, Video Streaming","Mumbai, Maharashtra, India",Loco is an Indian game streaming platform.,"84,958",2024-09-26,day,,https://www.loco.gg/,https://twitter.com/getloconow,https://www.linkedin.com/company/loco-india,"3one4 Capital, Krafton, Makers Fund, Korea Investment Partners, Lumikai"
