Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Exit Date,Exit Date Precision,Announced Date,Announced Date Precision,IPO Date,Website,Twitter,LinkedIn,Top 5 Investors
Coinify,https://www.crunchbase.com/organization/coinify-com,,"Bitcoin, Cryptocurrency, Developer APIs, Finance, Financial Exchanges, Financial Services, FinTech, Payments, Trading Platform, Virtual Currency","Copenhagen, Hovedstaden, Denmark","Helping businesses accelerate growth by accepting cryptocurrency payments, and buying crypto.","33,211",2021-08-02,day,2021-08-02,day,,https://www.coinify.com,https://twitter.com/coinify,https://www.linkedin.com/company/coinify,"PSV, Seed Capital, Accelerace, Nordic Eye Venture Capital, SEB Venture Capital"
GRIID,https://www.crunchbase.com/organization/griid,,"Bitcoin, Blockchain, Mining","Cincinnati, Ohio, United States",GRIID is a vertically-integrated bitcoin self-mining company that owns and operates a growing portfolio of bitcoin mining facilities.,"33,631",2024-06-27,day,2024-06-27,day,,https://www.griid.com/,https://twitter.com/griid?lang=en,https://www.linkedin.com/company/griid-infrastructure/,"Blockchain.com, Ten31, Kesha Ventures"
Arbelos Markets,https://www.crunchbase.com/organization/arbelos-markets,,"Cryptocurrency, Financial Services",,Arbelos Markets provides unprecedented access and transparency to counterparties through powerful technology.,"34,164",2025-01-02,day,2025-01-02,day,,https://arbelos.xyz/,,https://www.linkedin.com/company/arbelos-markets/about/,"Deribit, Dragonfly, FalconX, Paxos, StarkWare Industries"
Bison Trails,https://www.crunchbase.com/organization/bison-trails,,"Blockchain, Infrastructure, Internet, Software","Brooklyn, New York, United States",Bison Trails allows the user to run secure infrastructure on multiple blockchains.,"34,622",2021-01-19,day,2021-01-19,day,,https://bisontrails.co/,https://twitter.com/BisonTrails,https://www.linkedin.com/company/bison-trails/,"Kleiner Perkins, Coinbase Ventures, Blockchain Capital, Initialized Capital, Collaborative Fund"
Bware Labs,https://www.crunchbase.com/organization/bware-labs,,"Blockchain, Cloud Infrastructure, Cryptocurrency, Software Engineering, Web3","Bucharest, Bucuresti, Romania",Bware Labs provides blockchain infrastructure and API services.,"35,116",2024-08-29,day,2024-08-29,day,,https://bwarelabs.com/,https://twitter.com/BwareLabs,https://www.linkedin.com/company/bwarelabs/,"Ava Labs, Figment, CoinGecko, Nexo, The Spartan Group"
Sepior,https://www.crunchbase.com/organization/sepior,,"Blockchain, Cloud Security, Enterprise Software, Financial Services, FinTech, Information Technology, Software","Aarhus, Midtjylland, Denmark",Sepior enables trust for financial transactions and cloud applications using threshold cryptography.,"35,312",2022-07-20,day,2022-07-20,day,,https://sepior.com/,https://twitter.com/SepiorCorp,https://www.linkedin.com/company/sepior-kmaas/,"European Union, Seed Capital, EASME, SBI Group, DTU Innovation"
Shipyard Software,https://www.crunchbase.com/organization/shipyard-software,,"Cryptocurrency, Financial Services, Software","San Francisco, California, United States",Shipyard Software is building a fleet of exchanges and DeFi tools to suit every crypto trader.,"35,439",2025-01-28,day,2025-01-28,day,,https://shipyardsoftware.org/,https://twitter.com/ShipyardSW,https://www.linkedin.com/company/shipyard-software-inc/,"Robot Ventures, FJ Labs, Electric Capital, 0x, Quantstamp"
Multis,https://www.crunchbase.com/organization/multis,,"Blockchain, Consulting, Cryptocurrency, Financial Services, FinTech, Insurance, Internet, Software, Venture Capital, Web3","San Francisco, California, United States",Multis is a crypto treasury management tool designed for web3 organizations.,"35,596",2024-04-18,day,2024-04-18,day,,https://multis.com,https://twitter.com/multisHQ,https://www.linkedin.com/company/13991256,"Y Combinator, Sequoia Capital, Long Journey Ventures, Coinbase Ventures, White Star Capital"
ZenSports,https://www.crunchbase.com/organization/zensports,,"Cryptocurrency, Gambling, Mobile Apps, Sports","Miami, Florida, United States","Mobile sports betting against the house or peer-to-peer, using fiat or cryptocurrencies","35,636",2022-10-10,day,2022-10-10,day,,http://zensports.com/,https://www.twitter.com/zensports,https://www.linkedin.com/company/zensports,"Gaingels, LAUNCH, Forum Ventures, MicroVentures, Right Side Capital Management"
IndiGG,https://www.crunchbase.com/organization/indigg,,"Blockchain, Gaming, Information Technology, Online Games, Web3","Bengaluru, Karnataka, India",IndiGG is NFT based play-to-earn game in web3 frontier. IndiGG is the India sub-decentralized autonomous organization(subDAO) of YGG.,"36,452",2023-02-23,day,2023-02-23,day,,https://indigg-dev.netlify.app/,https://twitter.com/YGGIndia,https://www.linkedin.com/company/indi-gg/,"Lightspeed Venture Partners, Play Ventures, Peak XV Partners, Griffin Gaming Partners, Jump Capital"
Triangle,https://www.crunchbase.com/organization/triangle-2,,"B2B, Developer APIs, E-Commerce, Web3","San Francisco, California, United States","Triangle, acquired by Bridge and now Stripe is a software company that builds web3 wallet infrastructure.","36,617",2024-11-01,day,2024-11-01,day,,https://www.triangleplatform.com/,https://twitter.com/triangleplatfrm,https://www.linkedin.com/company/triangleplatform/,"Social Capital, WndrCo, Collab+Currency, RareBreed Ventures, DCG Expeditions"
Blowfish,https://www.crunchbase.com/organization/blowfish-6471,,"Blockchain, Cryptocurrency, Cyber Security, Information Technology, Software","San Francisco, Islas Baleares, Spain",Blowfish detects and prevents fraud before any fraud occurs.,"37,345",2024-11-27,day,2024-11-27,day,,https://blowfish.xyz,,,"Paradigm, Dragonfly, 0x, Naval Ravikant, Hypersphere Ventures"
Luno,https://www.crunchbase.com/organization/lunomoney,,"Cryptocurrency, Financial Services, Virtual Currency","London, England, United Kingdom","Luno is a global cryptocurrency firm that specializes in bitcoin, fintech, digital currencies, and financial services.","37,573",2020-09-09,day,2020-09-09,day,,https://www.luno.com,https://twitter.com/lunomoney,https://www.linkedin.com/company/lunomoney/,"Digital Currency Group, Balderton Capital, Ariadne Capital Limited, Venturra, PayU GPO"
DeCurret,https://www.crunchbase.com/organization/decurret,,"Cryptocurrency, Financial Services, Internet, Virtual Reality, Web Apps","Tokyo, Tokyo, Japan","DeCurret provides optimal rate of digital currency, instantly processing a large amount of currency transactions stably.","38,102",2022-02-01,day,2022-02-01,day,,https://www.decurret.com/,https://twitter.com/DeCurret,,"MUFG Bank, Fujitsu, KDDI, Mitsubishi Corporation, Sumitomo Mitsui Banking Corporation"
Curv,https://www.crunchbase.com/organization/curv-5d20,,"Blockchain, Cloud Computing, Cryptocurrency, Cyber Security, FinTech, Software","New York, New York, United States",Curv is a developer of digital asset security infrastructure helping crypto-native and financial institutions to create digital wallets.,"38,213",2021-03-08,day,2021-03-08,day,,https://www.curv.co,https://twitter.com/curvmpc,https://www.linkedin.com/company/curv,"Franklin Templeton, Team8, Coinbase Ventures, Digital Currency Group, CommerzVentures"
Authenteq - an FNZ company,https://www.crunchbase.com/organization/authenteq,,"Asset Management, Banking, Blockchain, Compliance, Cryptocurrency, FinTech, Insurance, Machine Learning, Software, Wealth Management","Reykjavík, Gullbringusysla, Iceland","Authenteq is the world’s first fully automated KYC identity verification platform. Verify identities instantly, onboard users in 35 seconds.","39,321",2022-11-01,month,2022-11-01,month,,https://onboarding.fnz.com/solutions/id-verification,https://twitter.com/FNZ_Group,https://www.linkedin.com/company/fnz/,"Draper Associates, 3VC, NAP, Startupbootcamp, EASME"
Sparrow,https://www.crunchbase.com/organization/sparrow-41c3,,"Bitcoin, Blockchain, Cryptocurrency, Ethereum, Financial Exchanges, FinTech, Trading Platform","Singapore, Central Region, Singapore",Sparrow offers innovative digital asset products and solutions for institutions and wealth managers.,"39,470",2022-12-13,day,2022-12-13,day,,https://www.sparrowexchange.com,https://twitter.com/sparrowexchange,https://www.linkedin.com/company/sparrowexchange/,"Arrington XRP Capital, Signum Capital, FinLab, EOS VC Fund, Du Capital"
DMG Blockchain Solutions,https://www.crunchbase.com/organization/dmg-blockchain-solutions,,"Blockchain, Cryptocurrency, Financial Services","Vancouver, British Columbia, Canada",DMG Blockchain Solutions is a full service diversified blockchain and cryptocurrency company.,"39,974",2018-02-13,day,,,2018-02-13,https://dmgblockchain.com,https://twitter.com/dmgblockchain,https://www.linkedin.com/company/dmgblockchain,"Sygnum, Canaccord Genuity Group, Paradigm Capital, Pyfera Growth Capital"
Fortress Blockchain Technologies,https://www.crunchbase.com/organization/fortress-blockchain-technologies,,"Blockchain, Financial Services, FinTech, Mobile Payments","Las Vegas, Nevada, United States","Financial, regulatory and technology infrastructure for NFT and crypto innovators","40,228",2023-09-08,day,2023-09-08,day,,https://fortress.io/,https://twitter.com/Fortress_io,https://www.linkedin.com/company/fortressblocktech,"Ayon Capital, Soaring Investment Management"
Skolem Technologies,https://www.crunchbase.com/organization/skolem,,"Cryptocurrency, Financial Services, Software","New York, New York, United States","Skolem provides robust institutional-grade asset management and execution services for hedge funds, treasuries, and service providers.","40,537",2024-05-30,day,2024-05-30,day,,https://skolem.com/,,https://www.linkedin.com/company/skolem/,"Dragonfly, Point72 Ventures, Galaxy Digital, Fenwick & West, Morpheus Ventures"
Byte Trading,https://www.crunchbase.com/organization/byte-trading,,"Cryptocurrency, Finance, Financial Services, Information Technology, Software","London, England, United Kingdom",Byte is an algorithmic market maker in digital assets.,"40,795",2025-02-14,day,2025-02-14,day,,https://byte-trading.com/,https://twitter.com/byte_trading,https://www.linkedin.com/company/byte-trading/,"redalpine, L1D, Possible Ventures, D4 Ventures"
SolanaFM,https://www.crunchbase.com/organization/solanafm,,"Blockchain, Information Services","Singapore, Central Region, Singapore",SolanaFM provides blockchain indexing and analytical services to quickly capture and analyze data.,"42,310",2024-09-20,day,2024-09-20,day,,https://solana.fm/?cluster=mainnet-qn1,https://twitter.com/solanafm,https://www.linkedin.com/company/solanafm,"Sygnum, CoinHako, The Spartan Group, Mirana, Zee Prime Capital"
WISeKey,https://www.crunchbase.com/organization/wisekey,,"Artificial Intelligence (AI), Blockchain, Cyber Security, Identity Management, Internet of Things, Network Security, SaaS, Software","Geneva, Geneve, Switzerland","WISeKey is a cybersecurity company using blockchain, AI, IoT technologies, and security to counterfeit fraud of bankcard and transactions.","44,598",2016-03-31,day,,,2016-03-31,http://www.wisekey.com,http://twitter.com/wisekey,http://www.linkedin.com/company/wisekey-sa,"Alpha Blue Ocean, The Global Emerging Markets Group, 32 Ventures, GVA Capital, Crede CapitalGroup"
WazirX,https://www.crunchbase.com/organization/wazirx,,"Blockchain, Cryptocurrency, Financial Exchanges","Vashi, Maharashtra, India",India's leading bitcoin exchange,"45,760",2019-11-21,day,2019-11-21,day,,https://wazirx.com,https://twitter.com/wazirxindia,https://www.linkedin.com/company/wazirx/,Kalaari Capital
Blox,https://www.crunchbase.com/organization/blox,,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech, Information Technology, Software","Tel Aviv, Tel Aviv, Israel","Blox is a platform for crypto accounting and bookkeeping that empowers accounting teams, finance teams, and bookkeepers.","46,290",2021-10-20,day,2021-10-20,day,,https://www.bloxstaking.com,https://twitter.com/Blox_Official,https://www.linkedin.com/company/blox-io,Coinsilium Group
GAMEE,https://www.crunchbase.com/organization/gamee,,"Apps, Blockchain, Casual Games, Gaming, Mobile, Web Apps","Prague, Hlavni mesto Praha, Czech Republic","GAMEE is a high-engagement gaming platform, where users complete game missions, compete in tournaments and earn prizes.","47,074",2020-07-02,day,2020-07-02,day,,https://token.gamee.com,https://www.twitter.com/gameeapp,https://www.linkedin.com/company/10062174,"Index Ventures, Pantera Capital, 3VC, Credo Ventures, Day One Capital"
Satsuma,https://www.crunchbase.com/organization/satsuma,,"Blockchain, Developer APIs, Developer Platform, Productivity Tools, Web3","San Francisco, California, United States",Satsuma is a reliable blockchain indexing service for web3 engineering teams.,"47,847",2023-09-26,day,2023-09-26,day,,https://www.satsuma.xyz/,https://twitter.com/satsumaxyz,https://www.linkedin.com/company/satsuma-xyz,"Y Combinator, South Park Commons, Archetype, Initialized Capital, Homebrew"
Change,https://www.crunchbase.com/organization/change-finance,,"Banking, Blockchain, Finance, Financial Services, FinTech, Stock Exchanges, Trading Platform","Amsterdam, Noord-Holland, The Netherlands",Change is an investment solution on a mission to remove the complexities and barriers to wealth creation.,"48,301",2023-08-22,day,2023-08-22,day,,https://changeinvest.com,https://twitter.com/changefinance,https://www.linkedin.com/company/changeinvest/,"Enabling Future, Kangro, Andromeda Capital Partners Suisse, Ingmar Mattus"
BRD,https://www.crunchbase.com/organization/brd,,"Bitcoin, Cryptocurrency, Financial Services, FinTech, Mobile Payments, Software, Virtual Currency","Zürich, Zurich, Switzerland",BRD is a financial software company specializing in blockchain-enabled mobile applications for cryptocurrency management.,"48,729",2021-11-25,day,2021-11-25,day,,https://brd.com/,https://x.com/brdhq,https://www.linkedin.com/company/breadwallet/,"East Ventures, Liberty City Ventures, Saison Ventures, Xpring, Das Capital"
Ape Board,https://www.crunchbase.com/organization/ape-board,,"Cryptocurrency, Decentralized Finance (DeFi), Financial Services, FinTech","Singapore, Central Region, Singapore",Ape Board is a decentralized finance (DeFi) sector via crypto-asset aggregator and portfolio dashboard.,"48,912",2022-05-17,day,2022-05-17,day,,https://apeboard.finance/,https://twitter.com/ape_board,https://www.linkedin.com/company/apeboard,"LongHash Ventures, SCB 10X, Spartan Capital Securities, Do Kwon, DeFiance Capital"
Enry's Island SpA,https://www.crunchbase.com/organization/enry-s-island-worldwide-distributed-platform-for-startup-incubation-acceleration,,"Blockchain, Cryptocurrency, Incubators, Internet of Things, Web Apps, Web3","Tremiti, Puglia, Italy",Enry’s Island S.p.A. is the first and only Venture Builder in the world listed in a Stock Exchange.,"49,565",2023-04-11,day,,,2023-04-11,http://enrysisland.com,https://twitter.com/EnrysIsland,https://www.linkedin.com/company/enry's-island/,"Key Capital, LDA Capital"
Voyager,https://www.crunchbase.com/organization/voyager-8d36,,"Cryptocurrency, Finance, Financial Services, FinTech, Information Technology","Wilmington, Delaware, United States",Voyager offers a secure way to invest in cryptocurrencies and altcoins using its mobile application.,"50,098",2019-02-11,day,2022-12-19,day,2019-02-11,https://www.investvoyager.com,https://twitter.com/investvoyager,https://www.linkedin.com/company/investvoyager,"Blockdaemon, Digital Currency Group, Galaxy Digital, Streamlined Ventures, Karman Ventures"
Utrust,https://www.crunchbase.com/organization/utrust,,"Cryptocurrency, E-Commerce, FinTech, Mobile Payments, Payments, Web3","Lisbon, Lisboa, Portugal",Web3 payments technology. The radically better way to pay and get paid globally,"50,634",2022-01-11,day,2022-01-11,day,,https://utrust.com,https://twitter.com/utrust,https://www.linkedin.com/company/utrust-payments/,"Alchemist Accelerator, Andreas Schwartz"
Zabo,https://www.crunchbase.com/organization/zabo,,"Bitcoin, Cryptocurrency, Developer APIs, Finance, Financial Services, FinTech, Personal Finance","Dallas, Texas, United States",Zabo connects any crypto wallet to any application in a few lines of code.,"50,661",2021-08-04,day,2021-08-04,day,,https://zabo.com,https://twitter.com/zaboAPI,https://www.linkedin.com/company/zaboapi,"Castle Island Ventures, Digital Currency Group, Capital Factory, Moonshots Capital, CoinShares"
OpenFinance,https://www.crunchbase.com/organization/openfinance-network,,"Cryptocurrency, Financial Services, Trading Platform","Chicago, Illinois, United States",OpenFinance is a secondary market trading platform for digital alternative assets.,"50,726",2020-10-28,day,2020-10-28,day,,https://www.openfinance.io/,https://twitter.com/openfinanceio,https://www.linkedin.com/company/openfinance-network/,"SixThirty, HTX, M25, West Loop Ventures, ODIG"
Naga,https://www.crunchbase.com/organization/swipestox-ltd,,"Apps, Blockchain, Cryptocurrency, Financial Exchanges, Financial Services, FinTech, Innovation Management, Payments, Social","Hamburg, Hamburg, Germany",Naga AG Group is a German-based fintech company founded in 2015 and publicly listed on the Frankfurt Stock Exchange.,"51,003",2017-07-10,day,,,2017-07-10,https://www.naga.com,https://twitter.com/nagainvesting,https://www.linkedin.com/company/nagainvesting/,"Fosun International, Elevat3 Capital"
SimpleHash,https://www.crunchbase.com/organization/simplehash,,"Bitcoin, Blockchain, Cryptocurrency, Security","San Francisco, California, United States",SimpleHash is an NFT data platform that specializes in infrastructure for multi-chain NFT indexing and querying.,"52,702",2025-02-26,day,2025-02-26,day,,https://simplehash.com/,https://x.com/SimpleHashInc,https://www.linkedin.com/company/simplehash,"Y Combinator, FundersClub, Orange DAO, Outset Capital"
Skew,https://www.crunchbase.com/organization/skew,,"Bitcoin, Blockchain, Financial Services, FinTech, Software","London, England, United Kingdom",Skew is a platform that builds cutting-edge financial infrastructure for the digital assets space.,"52,805",2021-04-30,day,2021-04-30,day,,https://www.skew.com,https://twitter.com/skewdotcom,https://www.linkedin.com/company/skew-markets/,"Octopus Ventures, Kleiner Perkins, Firstminute Capital, Kima Ventures, Seedcamp"
Hut 8 Corp.,https://www.crunchbase.com/organization/hut-8,,"Blockchain, Cryptocurrency, Mining","Toronto, Ontario, Canada",Hut 8 Corp. is a cryptocurrency mining and blockchain infrastructure company focused on digital asset mining.,"53,180",2019-10-08,day,,,2019-10-08,https://hut8.com,,https://www.linkedin.com/company/hut8corp,"Coinbase, Coatue, Trinity Capital, Fidelity International, Gravitas Securities"
Edureka,https://www.crunchbase.com/organization/edureka,,"Big Data, Blockchain, Cloud Computing, Corporate Training, E-Learning, EdTech, Education, Information Technology, Training, Web Development","Bangalore, Karnataka, India","Edureka is an e-learning platform that provides courses in big data, analytics, cloud computing, programming, and application development.","53,510",2021-09-23,day,2021-09-23,day,,http://www.edureka.co,https://twitter.com/edurekaIN,http://www.linkedin.com/company/edureka,Leo Capital
Coincheck,https://www.crunchbase.com/organization/resupress,,"Bitcoin, Blockchain, FinTech, Information Services, Information Technology, Internet, News, Software","Tokyo, Tokyo, Japan",Coincheck is a fintech firm that operates bitcoin and cryptocurrency exchange platform.,"53,525",2024-12-10,day,2018-04-06,day,2024-12-10,https://corporate.coincheck.com/,https://x.com/coincheckjp,https://www.linkedin.com/company/coincheck/,"ANRI, WiL (World Innovation Lab), Incubate Fund, Ceres"
Amino Payments,https://www.crunchbase.com/organization/amino-2,,"Blockchain, Financial Services, Payments","Philadelphia, Pennsylvania, United States","Amino is a payments company bringing transparency to online advertising by eliminating fraud, waste, and abuse.","54,270",2021-01-14,day,2021-01-14,day,,https://www.aminopay.com/,https://www.twitter.com/aminopay,https://www.linkedin.com/company/amino-payments,"First Round Capital, Nyca Partners, AperiamVentures, Western Technology Investment, Auren Hoffman"
Cybavo,https://www.crunchbase.com/organization/cybavo,,"Asset Management, Bitcoin, Blockchain, Cyber Security, Financial Services, FinTech, Identity Management, Internet, Security, Trading Platform","Singapore, Central Region, Singapore",Cybavo provides digital asset custody infrastructure for crypto businesses.,"54,594",2022-06-10,day,2022-06-10,day,,https://www.cybavo.com,https://twitter.com/cybavo,https://www.linkedin.com/company/cybavo,"500 Global, Startup Island TAIWAN, New Economy Ventures, H&D Asset Management Company"
Evernym,https://www.crunchbase.com/organization/evernym,,"Blockchain, Cryptocurrency, Information Services, Information Technology, Software","Draper, Utah, United States","Evernym is a software company that develops decentralized, self-sovereign identity applications in order to form more trusting interactions","57,656",2021-12-09,day,2021-12-09,day,,http://evernym.com/,https://www.twitter.com/evernym,https://www.linkedin.com/company/evernym-inc-/,"Alumni Ventures, Blockwall, Outlier Ventures, Kosmos Ventures, Medici Ventures"
Staging Labs,https://www.crunchbase.com/organization/staging-labs,,"Blockchain, Cryptocurrency, Cyber Security, Software","Miami, Florida, United States",Staging Labs making crypto safe and easy to use.,"57,965",2024-06-04,day,2024-06-04,day,,https://www.staginglabs.io/,https://twitter.com/Staging_Labs,https://www.linkedin.com/company/staging-labs/,"Gaingels, Flourish Ventures, The General Partnership, NGC Ventures, Longterm Ventures"
Gem,https://www.crunchbase.com/organization/gem,,"Cryptocurrency, FinTech, Internet, Security, Software","Venice, California, United States",Gem is a cryptocurrency and blockchain technology.,"58,085",2022-03-09,day,2022-03-09,day,,http://gem.co,https://twitter.com/gemhq,https://www.linkedin.com/company/gem-hq,"First Round Capital, Blockchain Capital, Compound, Pelion Venture Partners, Digital Currency Group"
Staked us,https://www.crunchbase.com/organization/staked-us,,"Blockchain, Internet, Publishing","New York, New York, United States",Staked is a startup that provides institutional investors with the technical infrastructure for non-custodial staking services.,"58,524",2021-12-21,day,2021-12-21,day,,https://staked.us/,https://twitter.com/staked_us,https://www.linkedin.com/company/staked/,"Global Brain Corporation, Coinbase Ventures, Pantera Capital, Fabric Ventures, Digital Currency Group"
Jet Protocol Holdings,https://www.crunchbase.com/organization/jet-protocol-holdings,,"Blockchain, Financial Services, FinTech, Lending","Greenwich, Connecticut, United States",Jet Protocol Holdings is an operator of a lending platform.,"60,969",2024-10-29,day,2024-10-29,day,,https://jetprotocol.io,https://twitter.com/jetprotocol,https://www.linkedin.com/company/jetprotocol,"Robot Ventures, Reciprocal Ventures, GSR, Three Arrows Capital, ParaFi Capital"
Arise Travel,https://www.crunchbase.com/organization/arise-technology,,"Blockchain, Hotel, Travel","San Francisco, California, United States",Arise Travel is a Modern infrastructure for the travel industry.,"62,239",2025-02-28,day,2025-02-28,day,,https://arise.travel/,https://twitter.com/AriseTechnology,https://www.linkedin.com/company/arise.travel/,"Unshackled Ventures, Market One Capital, Varsha Rao, The Refiners, Innovation Nest"
Solscan,https://www.crunchbase.com/organization/solscan,,"Analytics, Blockchain","Singapore, Central Region, Singapore",Solscan is a full-suite block explorer and data analytics platform focusing on the Solana ecosystem.,"63,596",2024-01-03,day,2024-01-03,day,,https://solscan.io/,https://twitter.com/solscanofficial,https://www.linkedin.com/company/solscan-pte-ltd/about/,"Electric Capital, Peak XV Partners, Multicoin Capital, CoinGecko, Signum Capital"
Vinter,https://www.crunchbase.com/organization/vinter-capital,,"Cryptocurrency, Financial Services, FinTech","Stockholm, Stockholms Lan, Sweden",Vinter is a regulated index provider specialized in crypto assets.,"64,908",2024-11-12,day,2024-11-12,day,,https://vinter.co,https://twitter.com/vinterco,https://www.linkedin.com/company/vinterco/,"Octopus Ventures, Techstars, Gorilla Capital, Sting, Propel Capital"
Cambridge Blockchain,https://www.crunchbase.com/organization/cambridge-blockchain,,"Blockchain, Cyber Security, Financial Services, FinTech, Identity Management, Information Technology, Privacy, Software","Cambridge, Massachusetts, United States",Cambridge Blockchain develops blockchain-based identity management and compliance software solutions for financial institutions.,"65,494",2020-12-01,day,2020-12-01,day,,http://www.cambridge-blockchain.com/,https://twitter.com/C_Blockchain,https://www.linkedin.com/company/cambridge-blockchain-llc,"Flourish Ventures, Partech, Digital Currency Group, PayPal Ventures, Future Perfect Ventures"
TAP Network,https://www.crunchbase.com/organization/tap-coin,,"Banking, Big Data, Blockchain, E-Commerce, FinTech, Loyalty Programs, Marketplace","New York, New York, United States",TAP Network is a technology company building blockchain powered software for enterprise clients.,"66,568",2023-04-04,day,2023-04-04,day,,https://mytaprewards.com,https://twitter.com/mytaprewards,https://www.linkedin.com/company/mytaprewards,"Warner Music Group, Access Industries, Hard Yaka, Bill Tai, Nima Capital"
Mint Songs,https://www.crunchbase.com/organization/mint-songs,,"Blockchain, Cryptocurrency, Information Technology, Music, Web3","Washington, District of Columbia, United States",Mint Songs is the largest music NFT marketplace helping music artists build web3 communities,"68,186",2023-02-15,day,2023-02-15,day,,http://mintsongs.com/,https://twitter.com/mintsongs,https://www.linkedin.com/company/mint-songs,"Goodwater Capital, Coinbase Ventures, Castle Island Ventures, Freestyle Capital, Dapper Labs"
Kleoverse,https://www.crunchbase.com/organization/kleoverse,,"Artificial Intelligence (AI), Internet, Service Industry, Software, Web3","Finland, Minnesota, United States",Kleoverse is a AI-Hive-driven platform to work on web3.,"69,784",2024-07-26,day,2024-07-26,day,,https://www.proles.ai/kleoverse,,,"byFounders, Ville Vesterinen"
First Group,https://www.crunchbase.com/organization/first-group,,"Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Information Technology, Payments, Software","Giv'atayim, Tel Aviv, Israel",First Group is a financial service providing company.,"70,641",2022-02-16,day,2022-02-16,day,,https://www.firstdag.com,https://mobile.twitter.com/first_dag,https://www.linkedin.com/company/firstdag/,"Target Global, Mangrove Capital Partners, Scale-Up, Ronald Cohen"
BastionZero,https://www.crunchbase.com/organization/commonwealth-crypto,,"Cryptocurrency, Information Technology","Boston, Massachusetts, United States",BastionZero is developing technology to allow traders to maintain custody of their coins while trading at a cryptocurrency exchange,"71,441",2024-05-30,day,2024-05-30,day,,https://www.bastionzero.com,https://twitter.com/getBastionZero,https://www.linkedin.com/company/bastionzero,"Underscore VC, Akamai Technologies, Highland Capital Partners, Dell Technologies Capital, Notation Capital"
Quadrant,https://www.crunchbase.com/organization/quadrant,,"Artificial Intelligence (AI), Big Data, Blockchain, Compliance, Enterprise Applications, Geospatial, Information Technology, Location Based Services, Real Time, Software","Singapore, Central Region, Singapore",Quadrant provides an online platform that helps users to find charts and share economic data in a faster and more convenient way.,"71,446",2021-08-25,day,2021-08-25,day,,https://quadrant.io/,https://twitter.com/quadrant_io,https://www.linkedin.com/company/quadrantio/,"Wavemaker Partners, JFDI.Asia"
Learning Machine Technologies,https://www.crunchbase.com/organization/learning-machine,,"Blockchain, Education, Government, Human Resources, Identity Management, SaaS","New York, New York, United States","Blockchain, SaaS, Digital Credentials, Identity Docs, Blockchain, Enterprise","72,744",2020-02-05,day,2020-02-05,day,,http://www.learningmachine.com,https://www.twitter.com/learningmach1,https://www.linkedin.com/company/2137722/,"Learn Capital, Omidyar Network, PTB Ventures"
RateS,https://www.crunchbase.com/organization/rate-2deb,,"Blockchain, E-Commerce","Singapore, Central Region, Singapore",Rate is a social commerce startup focused on Tier-2/3 cities in rural Indonesia.,"73,481",2023-09-14,day,2023-09-14,day,,https://ratesapp.co.id,https://twitter.com/rates_idn,https://sg.linkedin.com/company/ratesg,"Insignia Ventures Partners, Vertex Ventures Southeast Asia & India, Genesis Alternative Ventures, Beacon Venture Capital, KVision"
Propine,https://www.crunchbase.com/organization/propine-capital,,"Bitcoin, Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Information Technology, Internet","Singapore, Central Region, Singapore",Propine provides digital custody and crypto management services.,"75,651",2024-10-22,day,2024-10-22,day,,https://propine.com,https://twitter.com/PropineGlobal,https://www.linkedin.com/company/propine,"Entrepreneurs First, Golden Gate Ventures, Tenity, Wave Digital Assets, LuneX Ventures"
Bits,https://www.crunchbase.com/organization/bits-af10,,Cryptocurrency,"Las Vegas, Nevada, United States",Bits set up automatic investments at regular intervals within the Bits app to strengthen the value of your micro-investments.,"77,180",2024-11-19,day,2024-11-19,day,,https://www.bitscrypto.com/,,https://www.linkedin.com/company/bitscrypto/about/,"Founders, Inc., Founders Committee Ventures"
BitOasis,https://www.crunchbase.com/organization/bitoasis,,"Bitcoin, Cryptocurrency, Financial Services, FinTech, Payments","Dubai, Dubai, United Arab Emirates","BitOasis is a cryptocurrency trading platform offering a digital asset wallet and exchange to buy, sell, and trade.","79,505",2024-07-03,day,2024-07-03,day,,http://bitoasis.net,https://twitter.com/bitoasis,https://www.linkedin.com/company/bitoasis-technologies-fze/about/,"Digital Currency Group, Global Founders Capital, Pantera Capital, CoinDCX, 1776 Ventures"
Golden,https://www.crunchbase.com/organization/golden-2cb6,,"Artificial Intelligence (AI), Blockchain, Machine Learning, Natural Language Processing, Software","Claymont, Delaware, United States",Golden is a developer of a self-constructing knowledge database used to accelerate discovery and education.,"80,100",2024-04-24,day,2024-04-24,day,,https://golden.com,https://twitter.com/Golden,https://www.linkedin.com/company/golden-recursion-inc/,"Andreessen Horowitz, Founders Fund, Quiet Capital, FalconX, Bossa Invest"
Tech Bureau,https://www.crunchbase.com/organization/tech-bureau-inc-,,"Cryptocurrency, FinTech, Security","Osaka, Osaka, Japan",Tech Bureau provides cryptographic currency and Blockchain technology using exchange API to handle currency encryption.,"80,495",2018-11-22,day,2018-11-22,day,,http://techbureau.jp,,https://www.linkedin.com/company/tech-bureau-corp.,"JAFCO, Hiroshima Venture Capital, Arara, Asteria, Nippon Technology Venture Partners"
